연번,정류소아이디(ID),정류소명,경도,위도,데이터기준일자
1208,31004,옥봉삼거리,128.0924207,35.19332958,2021-09-09
1209,31003,옥봉삼거리,128.0927077,35.19364921,2021-09-09
1210,3071,옹기,128.1354855,35.11713731,2021-09-09
1211,9081,옻점이,128.2427868,35.241414,2021-09-09
1212,9017,옻점이,128.2428483,35.24148547,2021-09-09
1213,15018,완사,127.9773959,35.13211969,2021-09-09
1214,15017,완사,127.9776483,35.13212892,2021-09-09
1215,15016,완사시장,127.9764094,35.13173782,2021-09-09
1216,15015,완사시장,127.9757076,35.13177051,2021-09-09
1217,14080,왕지,128.0524242,35.2400692,2021-09-09
1218,14066,왕지,128.0534055,35.24295649,2021-09-09
1219,14063,왕지입구,128.0503717,35.23851202,2021-09-09
1220,14064,왕지입구,128.0504597,35.23852027,2021-09-09
1221,14065,왕지회관,128.0531264,35.24297653,2021-09-09
1222,7061,외동,128.3430511,35.14253907,2021-09-09
1223,14108,외율,127.993049,35.28044895,2021-09-09
1224,14026,외율,127.9934334,35.28087842,2021-09-09
1225,14130,외율종점,127.990533,35.28866011,2021-09-09
1226,16088,요산,127.9381155,35.19401945,2021-09-09
1227,16087,요산,127.9382389,35.19401399,2021-09-09
1228,9065,용봉,128.2448658,35.24801836,2021-09-09
1229,9063,용봉,128.2453101,35.24586289,2021-09-09
1230,9064,용봉,128.2453769,35.24592078,2021-09-09
1231,9087,용봉삼거리,128.2470462,35.24142976,2021-09-09
1232,9025,용봉회관,128.2449986,35.24812604,2021-09-09
1233,14016,용산,128.0122732,35.23054471,2021-09-09
1234,14017,용산,128.0122346,35.23030844,2021-09-09
1235,14105,용산고개,128.0025271,35.23723913,2021-09-09
1236,14014,용산회관,128.0195044,35.22795361,2021-09-09
1237,14015,용산회관,128.0190955,35.22775426,2021-09-09
1238,11012,용심,128.1589417,35.20195393,2021-09-09
1239,11011,용심,128.158907,35.20183484,2021-09-09
1240,11078,용심경로회관,128.1555741,35.20589752,2021-09-09
1241,11056,용심경로회관,128.1557953,35.20601257,2021-09-09
1242,11057,용심회관,128.1584827,35.20384878,2021-09-09
1243,11058,용심회관,128.1586041,35.20389043,2021-09-09
1244,1093,용암,128.332347,35.16572546,2021-09-09
1245,10079,용암,128.1616015,35.31935652,2021-09-09
1246,1039,용호부대,128.1705639,35.14408721,2021-09-09
1247,1040,용호부대,128.1704536,35.14405223,2021-09-09
1248,1063,우경레미콘,128.1898753,35.16909703,2021-09-09
1249,1064,우경레미콘,128.189683,35.16927017,2021-09-09
1250,8079,우곡,128.2672017,35.18693997,2021-09-09
1251,8015,우곡,128.2672871,35.18713736,2021-09-09
1252,9076,우기미,128.2337649,35.2454156,2021-09-09
1253,9018,우기미,128.2338564,35.2454755,2021-09-09
1254,4026,우봉,128.2295281,35.12540422,2021-09-09
1255,4064,우봉,128.229574,35.12520424,2021-09-09
1256,14098,우수,128.030677,35.21222367,2021-09-09
1257,14099,우수,128.0307775,35.21235575,2021-09-09
1258,14096,우수1,128.0307204,35.20806153,2021-09-09
1259,14097,우수1,128.0307894,35.20809023,2021-09-09
1260,14008,우수육교,128.0328515,35.21742818,2021-09-09
1261,14007,우수육교,128.0350438,35.21644506,2021-09-09
1262,11025,우편집중국,128.1419929,35.21645003,2021-09-09
1263,4055,운문,128.2024814,35.12322285,2021-09-09
1264,4054,운문,128.2003871,35.12197954,2021-09-09
1265,4023,운문회관,128.197224,35.12153764,2021-09-09
1266,4022,운문회관,128.1974653,35.12134824,2021-09-09
1267,6022,운천,128.2648335,35.16535422,2021-09-09
1268,6023,운천,128.2646408,35.16531567,2021-09-09
1269,6062,운천삼거리,128.2600285,35.17235789,2021-09-09
1270,6063,운천삼거리,128.2598984,35.17246289,2021-09-09
1271,16064,원계,127.8958934,35.21409378,2021-09-09
1272,16065,원계,127.8958261,35.21447057,2021-09-09
1273,16067,원계회관,127.8948479,35.21664547,2021-09-09
1274,16066,원계회관,127.8947843,35.21663321,2021-09-09
1275,16039,원내,127.9520706,35.17141374,2021-09-09
1276,16038,원내,127.9521217,35.17132546,2021-09-09
1277,16036,원당,127.9537246,35.16759267,2021-09-09
1278,16035,원당,127.9538194,35.16748151,2021-09-09
1279,6017,원당,128.2612433,35.17344914,2021-09-09
1280,6051,원당,128.261164,35.17347249,2021-09-09
1281,6049,원동,128.2911585,35.14001855,2021-09-09
1282,16034,원동,127.9548289,35.16393364,2021-09-09
1283,16091,원동,127.9548821,35.16403011,2021-09-09
1284,12102,원동,128.071944,35.24095465,2021-09-09
1285,12103,원동,128.0720066,35.24111633,2021-09-09
1286,6060,원동,128.2910194,35.1400696,2021-09-09
1287,12138,원동1,128.0706187,35.24689915,2021-09-09
1288,12088,원동1,128.0705992,35.2473004,2021-09-09
1289,12133,원동삼거리,128.0722349,35.24489974,2021-09-09
1290,12135,원동삼거리,128.071923,35.24478308,2021-09-09
1291,6035,원동입구,128.2811412,35.14476199,2021-09-09
1292,6036,원동입구,128.2809463,35.14475054,2021-09-09
1293,37015,원예농협,128.1130739,35.17104391,2021-09-09
1294,37016,원예농협,128.1130505,35.17113651,2021-09-09
1295,31012,원일그린빌라,128.0923553,35.19603407,2021-09-09
1296,31011,원일그린빌라,128.0922531,35.19598542,2021-09-09
1297,1106,원촌,128.1377036,35.16285209,2021-09-09
1298,1107,원촌,128.1378755,35.16297891,2021-09-09
1299,18018,월경사입구,128.083379,35.18154519,2021-09-09
1300,18019,월경사입구,128.0831938,35.18165275,2021-09-09
1301,16015,월계,127.9335623,35.22837208,2021-09-09
1302,16014,월계,127.9334661,35.22836606,2021-09-09
1303,16016,월계회관입구,127.935541,35.23591878,2021-09-09
1304,16017,월계회관입구,127.9356423,35.23589772,2021-09-09
1305,1096,월아,128.1740555,35.20141909,2021-09-09
1306,10002,월아,128.1397198,35.24572278,2021-09-09
1307,10001,월아,128.1395454,35.24562303,2021-09-09
1308,11076,월아삼거리,128.1665835,35.19748901,2021-09-09
1309,11049,월아삼거리,128.1664027,35.19751553,2021-09-09
1310,10088,월암,128.1648965,35.31064554,2021-09-09
1311,10089,월암,128.165015,35.31066693,2021-09-09
1312,10035,월암회관/선인국제중학교,128.1653042,35.30898327,2021-09-09
1313,10034,월암회관/선인국제중학교,128.1652359,35.30882395,2021-09-09
1314,5026,월정,128.2218266,35.19456701,2021-09-09
1315,5025,월정,128.2219281,35.19456599,2021-09-09
1316,49002,윙스타워,128.1287543,35.16492093,2021-09-09
1317,49001,윙스타워,128.1284695,35.16456306,2021-09-09
1318,10016,유곡,128.1568037,35.26059634,2021-09-09
1319,10015,유곡,128.156745,35.26071857,2021-09-09
1320,10082,유곡삼거리,128.164419,35.26061567,2021-09-09
1321,10081,유곡삼거리,128.1644644,35.26052736,2021-09-09
1322,43005,유곡한보아파트,128.0643087,35.19362725,2021-09-09
1323,44020,유곡한보아파트,128.0636202,35.19387665,2021-09-09
1324,10071,유동,128.1832452,35.26686139,2021-09-09
1325,10070,유동,128.1832052,35.2669429,2021-09-09
1326,2054,유동,128.0394601,35.12513179,2021-09-09
1327,2053,유동,128.0394204,35.12502848,2021-09-09
1328,2055,유동종점,128.0395832,35.12597121,2021-09-09
1329,10093,유동회관,128.1827089,35.2690928,2021-09-09
1330,2051,유동회관,128.0314206,35.12636543,2021-09-09
1331,2052,유동회관,128.0313731,35.12629823,2021-09-09
1332,10072,유동회관,128.182618,35.26907341,2021-09-09
1333,2073,유수,128.0236663,35.1287115,2021-09-09
1334,2074,유수,128.0235939,35.12884055,2021-09-09
1335,2037,유수교,128.0192247,35.13015724,2021-09-09
1336,2038,유수교,128.019314,35.13028493,2021-09-09
1337,18002,육거리,128.0849305,35.18511623,2021-09-09
1338,18001,육거리,128.0850211,35.18532271,2021-09-09
1339,2066,율곡,128.0942367,35.14810209,2021-09-09
1340,2067,율곡,128.0944141,35.14803524,2021-09-09
